,count
360610028004,3648
360610029001,7316
360610029002,1581
360610029003,5115
360610029004,10656
360610030011,30225
360610030012,27962
360610030013,6975
360610030014,11811
360610030021,17655
360610030022,26474
360610031001,34518
360610032001,23456
360610032002,9331
360610032003,12224
360610032004,6976
360610032005,5239
360610032006,8844
360610032007,16770
360610033001,26368
360610033002,46620
360610033003,40192
360610034001,11997
360610034002,9504
360610034003,19685
360610034004,22041
360610036011,2635
360610036012,2144
360610036013,21088
360610036021,8192
360610036022,38272
360610037001,19744
360610037002,29248
360610037003,47456
360610038001,28448
360610038002,8680
360610038003,21024
360610038004,5952
360610038005,10664
360610038006,5828
360610038007,15438
360610039001,14560
360610039002,16895
360610039003,4650
360610039004,37107
360610040001,27232
360610040002,9504
360610040003,21080
360610040004,9207
360610040005,13472
360610040006,17329
360610041001,9703
360610041002,8160
360610041003,3007
360610041004,7168
360610041005,15936
360610041006,21483
360610042001,44022
360610042002,27872
360610043001,23296
360610043002,7316
360610043003,46345
360610044001,6603
360610044002,3007
360610044003,3813
360610044004,806
360610044005,5425
360610044006,7620
360610044007,16709
360610044008,6045
360610045001,48128
360610047001,17024
360610047002,44608
360610048001,6176
360610048002,8832
360610048003,7328
360610048004,13113
360610048005,21152
360610048006,13609
360610048007,2450
360610049001,53056
360610049002,13440
360610049003,15840
360610050001,28192
360610050002,30112
360610050003,27680
360610050004,16000
360610050005,10528
360610052001,75328
360610052002,56100
360610054001,70048
360610054002,12448
360610054003,17344
360610055011,21600
360610055012,3534
360610055013,10602
360610055021,27008
360610055022,57280
360610056001,76911
360610056002,44448
360610056003,19995
360610057001,26880
360610057002,40416
360610058001,144375
360610059001,13408
360610059002,6816
360610059003,4672
360610059004,5040
360610059005,6080
360610060001,2077
360610060002,7502
360610060003,7264
360610061001,27008
360610061002,10464
360610061003,53600
360610062001,41044
360610062002,4640
360610063001,28064
360610063002,18880
360610063003,17792
360610063004,13824
360610063005,16192
360610064001,25216
360610064002,13376
360610064003,7285
360610064004,15686
360610064005,13728
360610064006,7626
360610065001,36608
360610065002,15934
360610065003,22304
360610065004,19904
360610065005,8990
360610066001,9238
360610066002,10890
360610066003,8928
360610066004,7872
360610066005,6880
360610066006,4480
360610066007,4867
360610066008,8120
360610066009,2464
360610067001,19872
360610067002,19488
360610067003,12524
360610067004,22656
360610068001,34304
360610068002,19995
360610068003,25920
360610068004,16740
360610068005,12480
360610068006,16480
360610069001,34353
360610070001,29184
360610070002,17792
360610070003,14446
360610070004,5920
360610070005,8736
360610070006,8153
360610071001,11820
360610071002,9088
360610071003,23904
360610071004,12032
360610071005,22537
360610072001,9856
360610072002,35712
360610072003,28544
360610072004,27435
360610072005,21120
360610072006,13175
360610072007,11104
360610073001,15717
360610073002,10788
360610073003,9021
360610073004,24160
360610073005,1767
360610073006,27584
360610074001,55392
360610074002,27520
360610074003,67872
360610075001,9184
360610075002,7872
360610075003,24707
360610076001,97664
360610076002,41760
360610077001,31168
360610077002,10656
360610077003,25728
360610077004,20576
360610077005,3168
360610078001,10261
360610078002,11008
360610078003,2356
360610078004,16320
360610078005,8280
360610078006,12928
360610078007,10016
360610079001,72509
360610079002,6336
360610079003,16064
360610079004,44192
360610080001,52768
360610080002,66752
360610080003,6560
360610080004,14592
360610080005,14720
360610081001,20032
360610081002,20832
360610081003,7136
360610081004,12214
360610081005,11328
360610081006,20992
360610082001,108448
360610082002,24672
360610082003,14688
360610083001,21792
360610083002,44192
360610083003,63968
360610084001,19525
360610084002,75680
360610086011,10428
360610086012,14539
360610086021,6275
360610086031,6112
360610086032,6688
360610086033,2912
360610086034,11022
360610087001,54624
360610087002,10170
360610087003,9664
360610087004,9362
360610087005,9610
360610088001,57952
360610088002,11253
360610088003,4192
360610088004,6479
360610088005,7200
360610088006,6752
360610088007,960
360610089001,3808
360610089002,9796
360610089003,13536
360610089004,11872
360610089005,5152
360610090001,31936
360610090002,6656
360610090003,10695
360610090004,6592
360610090005,23281
360610090006,11563
360610091001,66784
360610091002,23616
360610091003,16008
360610091004,18445
360610092001,245024
360610093001,7130
360610093002,17918
360610093003,10368
360610093004,7410
360610093005,8704
360610093006,6386
360610093007,11253
360610094001,149280
360610095001,60357
360610095002,48320
360610096001,107648
360610097001,8679
360610097002,15720
360610097003,480
360610097004,4416
360610098001,15390
360610098002,34069
360610098003,32672
360610098004,8184
360610098005,11168
360610098006,22272
360610098007,9982
360610099001,210606
360610100001,99808
360610100002,106854
360610101001,402732
360610102001,155186
360610103001,63063
360610104001,142263
360610106011,4740
360610106012,7347
360610106013,6880
360610106014,7140
360610106015,5568
360610106016,7380
360610106021,6880
360610106022,25344
360610106023,5053
360610108001,4588
360610108002,11346
360610108003,9920
360610108004,12720
360610108005,8370
360610108006,24768
360610108007,36640
360610109001,114752
360610110001,7750
360610110002,6912
360610110003,40320
360610110004,9362
360610110005,7192
360610110006,20704
360610111001,38254
360610111002,9184
360610111003,15655
360610112011,100384
360610112021,97856
360610112031,38181
360610112032,43980
360610113001,163680
360610114011,55040
360610114012,36768
360610114021,49216
360610114022,56575
360610115001,95073
360610115002,25120
360610116001,58720
360610116002,5856
360610116003,6169
360610117001,48224
360610118001,8928
360610118002,9858
360610118003,10137
360610118004,17824
360610118005,6240
